Date,Parameter,Value
2022-07-01,Bill from CBC China,197.0
2022-07-01,Bill from CBC Hong Kong,98.0
2022-07-01,Bill from CBC Singapore,8.0
2022-07-01,Bill from CBC Taiwan,0.0
2022-07-01,Bill from CBC Tech HK,0.0
2022-07-01,Bill from CNO,0.0
2022-07-01,Bill from CNT,0.0
2022-07-01,Bill from sinocomm,0.0
2022-07-01,Bill from 北京紫讯,0.0
2022-08-01,Bill from CBC China,215.0
2022-08-01,Bill from CBC Hong Kong,91.0
2022-08-01,Bill from CBC Singapore,8.0
2022-08-01,Bill from CBC Taiwan,0.0
2022-08-01,Bill from CBC Tech HK,0.0
2022-08-01,Bill from CNO,0.0
2022-08-01,Bill from CNT,0.0
2022-08-01,Bill from sinocomm,0.0
2022-08-01,Bill from 北京紫讯,0.0
2022-09-01,Bill from CBC China,190.0
2022-09-01,Bill from CBC Hong Kong,111.0
2022-09-01,Bill from CBC Singapore,13.0
2022-09-01,Bill from CBC Taiwan,0.0
2022-09-01,Bill from CBC Tech HK,0.0
2022-09-01,Bill from CNO,0.0
2022-09-01,Bill from CNT,0.0
2022-09-01,Bill from sinocomm,0.0
2022-09-01,Bill from 北京紫讯,0.0
2022-10-01,Bill from CBC China,186.0
2022-10-01,Bill from CBC Hong Kong,102.0
2022-10-01,Bill from CBC Singapore,8.0
2022-10-01,Bill from CBC Taiwan,0.0
2022-10-01,Bill from CBC Tech HK,0.0
2022-10-01,Bill from CNO,0.0
2022-10-01,Bill from CNT,0.0
2022-10-01,Bill from sinocomm,0.0
2022-10-01,Bill from 北京紫讯,0.0
2022-11-01,Bill from CBC China,194.0
2022-11-01,Bill from CBC Hong Kong,105.0
2022-11-01,Bill from CBC Singapore,8.0
2022-11-01,Bill from CBC Taiwan,0.0
2022-11-01,Bill from CBC Tech HK,0.0
2022-11-01,Bill from CNO,0.0
2022-11-01,Bill from CNT,0.0
2022-11-01,Bill from sinocomm,0.0
2022-11-01,Bill from 北京紫讯,0.0
2022-12-01,Bill from CBC China,324.0
2022-12-01,Bill from CBC Hong Kong,106.0
2022-12-01,Bill from CBC Singapore,10.0
2022-12-01,Bill from CBC Taiwan,0.0
2022-12-01,Bill from CBC Tech HK,0.0
2022-12-01,Bill from CNO,0.0
2022-12-01,Bill from CNT,0.0
2022-12-01,Bill from sinocomm,0.0
2022-12-01,Bill from 北京紫讯,0.0
2023-01-01,Bill from CBC China,193.0
2023-01-01,Bill from CBC Hong Kong,100.0
2023-01-01,Bill from CBC Singapore,8.0
2023-01-01,Bill from CBC Taiwan,0.0
2023-01-01,Bill from CBC Tech HK,0.0
2023-01-01,Bill from CNO,0.0
2023-01-01,Bill from CNT,0.0
2023-01-01,Bill from sinocomm,0.0
2023-01-01,Bill from 北京紫讯,0.0
2023-02-01,Bill from CBC China,215.0
2023-02-01,Bill from CBC Hong Kong,96.0
2023-02-01,Bill from CBC Singapore,9.0
2023-02-01,Bill from CBC Taiwan,0.0
2023-02-01,Bill from CBC Tech HK,0.0
2023-02-01,Bill from CNO,0.0
2023-02-01,Bill from CNT,0.0
2023-02-01,Bill from sinocomm,0.0
2023-02-01,Bill from 北京紫讯,0.0
2023-03-01,Bill from CBC China,212.0
2023-03-01,Bill from CBC Hong Kong,96.0
2023-03-01,Bill from CBC Singapore,8.0
2023-03-01,Bill from CBC Taiwan,0.0
2023-03-01,Bill from CBC Tech HK,0.0
2023-03-01,Bill from CNO,0.0
2023-03-01,Bill from CNT,0.0
2023-03-01,Bill from sinocomm,0.0
2023-03-01,Bill from 北京紫讯,0.0
2023-04-01,Bill from CBC China,222.0
2023-04-01,Bill from CBC Hong Kong,100.0
2023-04-01,Bill from CBC Singapore,8.0
2023-04-01,Bill from CBC Taiwan,0.0
2023-04-01,Bill from CBC Tech HK,0.0
2023-04-01,Bill from CNO,0.0
2023-04-01,Bill from CNT,0.0
2023-04-01,Bill from sinocomm,0.0
2023-04-01,Bill from 北京紫讯,0.0
2023-05-01,Bill from CBC China,190.0
2023-05-01,Bill from CBC Hong Kong,98.0
2023-05-01,Bill from CBC Singapore,8.0
2023-05-01,Bill from CBC Taiwan,0.0
2023-05-01,Bill from CBC Tech HK,0.0
2023-05-01,Bill from CNO,0.0
2023-05-01,Bill from CNT,0.0
2023-05-01,Bill from sinocomm,0.0
2023-05-01,Bill from 北京紫讯,0.0
2023-06-01,Bill from CBC China,226.0
2023-06-01,Bill from CBC Hong Kong,97.0
2023-06-01,Bill from CBC Singapore,8.0
2023-06-01,Bill from CBC Taiwan,0.0
2023-06-01,Bill from CBC Tech HK,0.0
2023-06-01,Bill from CNO,0.0
2023-06-01,Bill from CNT,0.0
2023-06-01,Bill from sinocomm,0.0
2023-06-01,Bill from 北京紫讯,0.0
2023-07-01,Bill from CBC China,196.0
2023-07-01,Bill from CBC Hong Kong,104.0
2023-07-01,Bill from CBC Singapore,8.0
2023-07-01,Bill from CBC Taiwan,0.0
2023-07-01,Bill from CBC Tech HK,0.0
2023-07-01,Bill from CNO,0.0
