Parameter,Date,Value
Cloud,2022-07-01,25
DIA,2022-07-01,155
DSL,2022-07-01,61
Fault cases,2022-07-01,537
MPLS VPN,2022-07-01,161
MTTR - Internet (hour),2022-07-01,2.56
MTTR - Private Line (hour),2022-07-01,1.92
Major Incident 1 Recovery (hour),2022-07-01,0.88
Major Incident 2 Recovery (hour),2022-07-01,1.6
Major incidents,2022-07-01,2
Order dispatched,2022-07-01,12
PLC,2022-07-01,57
Cloud,2022-08-01,27
DIA,2022-08-01,178
DSL,2022-08-01,87
Fault cases,2022-08-01,504
MPLS VPN,2022-08-01,105
MTTR - Internet (hour),2022-08-01,2.05
MTTR - Private Line (hour),2022-08-01,1.47
Major Incident 1 Recovery (hour),2022-08-01,3.13
Major Incident 2 Recovery (hour),2022-08-01,0.17
Major incidents,2022-08-01,2
Order dispatched,2022-08-01,10
PLC,2022-08-01,49
Cloud,2022-09-01,20
DIA,2022-09-01,204
DSL,2022-09-01,83
Fault cases,2022-09-01,585
MPLS VPN,2022-09-01,163
MTTR - Internet (hour),2022-09-01,2.1
MTTR - Private Line (hour),2022-09-01,1.97
Major Incident 1 Recovery (hour),2022-09-01,＜2
Major incidents,2022-09-01,6
Order dispatched,2022-09-01,16
PLC,2022-09-01,61
Cloud,2022-10-01,86
DIA,2022-10-01,151
DSL,2022-10-01,52
Fault cases,2022-10-01,540
MPLS VPN,2022-10-01,132
MTTR - Internet (hour),2022-10-01,2.05
MTTR - Private Line (hour),2022-10-01,5.46
Major Incident 1 Recovery (hour),2022-10-01,＜1
Major incidents,2022-10-01,3
Order dispatched,2022-10-01,7
PLC,2022-10-01,43
Cloud,2022-11-01,96.0
DIA,2022-11-01,158.0
DSL,2022-11-01,71.0
Fault cases,2022-11-01,479.0
MPLS VPN,2022-11-01,100.0
MTTR - Internet (hour),2022-11-01,4.14
MTTR - Private Line (hour),2022-11-01,2.96
Major Incident 1 Recovery (hour),2022-11-01,2.0
Major incidents,2022-11-01,1.0
Order dispatched,2022-11-01,11.0
PLC,2022-11-01,56.0
Cloud,2022-12-01,39.0
DIA,2022-12-01,118.0
DSL,2022-12-01,65.0
Fault cases,2022-12-01,360.0
MPLS VPN,2022-12-01,94.0
MTTR - Internet (hour),2022-12-01,2.24
MTTR - Private Line (hour),2022-12-01,1.94
Major Incident 1 Recovery (hour),2022-12-01,0.0
Major incidents,2022-12-01,0.0
Order dispatched,2022-12-01,6.0
PLC,2022-12-01,44.0
Cloud,2023-01-01,69.0
DIA,2023-01-01,145.0
DSL,2023-01-01,76.0
Fault cases,2023-01-01,420.0
MPLS VPN,2023-01-01,89.0
MTTR - Internet (hour),2023-01-01,2.87
MTTR - Private Line (hour),2023-01-01,3.04
Major Incident 1 Recovery (hour),2023-01-01,0.25
Major incidents,2023-01-01,1.0
Order dispatched,2023-01-01,10.0
PLC,2023-01-01,27.0
Cloud,2023-02-01,77.0
DIA,2023-02-01,187.0
DSL,2023-02-01,46.0
Fault cases,2023-02-01,461.0
MPLS VPN,2023-02-01,80.0
MTTR - Internet (hour),2023-02-01,1.88
MTTR - Private Line (hour),2023-02-01,5.73
