Date,Parameter,Denominator,Value
2022-07-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2022-07-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2022-07-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2022-07-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,197.0
2022-07-01,Turnover of staff  离职率,Percentage 百分比,0.1061
2022-07-01,Vacancy 空缺人数​,Number of Headcounts 人数,11.0
2022-07-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2022-07-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2022-07-01,Individual Contributors 无下属员工,Number of Headcounts 人数,80.0
2022-07-01,People Managers 无下属的经理,Number of Headcounts 人数,68.0
2022-08-01,Initial staff 初期人数​,Number of Headcounts 人数,197.0
2022-08-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2022-08-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2022-08-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2022-08-01,Turnover of staff  离职率,Percentage 百分比,0.123
2022-08-01,Vacancy 空缺人数​,Number of Headcounts 人数,13.0
2022-08-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2022-08-01,People Managers 有下属的经理,Number of Headcounts 人数,43.0
2022-08-01,Individual Contributors 无下属员工,Number of Headcounts 人数,79.0
2022-08-01,People Managers 无下属的经理,Number of Headcounts 人数,69.0
2022-09-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2022-09-01,Staff onboarded 入职人数​,Number of Headcounts 人数,6.0
2022-09-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2022-09-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,198.0
2022-09-01,Turnover of staff  离职率,Percentage 百分比,0.1436
2022-09-01,Vacancy 空缺人数​,Number of Headcounts 人数,12.0
2022-09-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2022-09-01,People Managers 有下属的经理,Number of Headcounts 人数,49.0
2022-09-01,Individual Contributors 无下属员工,Number of Headcounts 人数,80.0
