Metric,Source,Date,Value
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2022-07-01,0.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2022-07-01,5.0
Press Release 新闻通稿,Jacky Wang,2022-07-01,2.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2022-07-01,11.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2022-08-01,5
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2022-08-01,32
Press Release 新闻通稿,Jacky Wang,2022-08-01,2
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2022-08-01,8
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2022-09-01,3.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2022-09-01,15.0
Press Release 新闻通稿,Jacky Wang,2022-09-01,2.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2022-09-01,16.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2022-10-01,1.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2022-10-01,2.0
Press Release 新闻通稿,Jacky Wang,2022-10-01,1.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2022-10-01,10.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2022-11-01,3.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2022-11-01,36.0
Press Release 新闻通稿,Jacky Wang,2022-11-01,2.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2022-11-01,10.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2022-12-01,1.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2022-12-01,2.0
Press Release 新闻通稿,Jacky Wang,2022-12-01,1.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2022-12-01,9.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2023-01-01,1.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2023-01-01,1.0
Press Release 新闻通稿,Jacky Wang,2023-01-01,1.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2023-01-01,9.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2023-02-01,1.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2023-02-01,19.0
Press Release 新闻通稿,Jacky Wang,2023-02-01,1.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2023-02-01,3.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2023-03-01,1.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2023-03-01,31.0
Press Release 新闻通稿,Jacky Wang,2023-03-01,1.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2023-03-01,8.0
Marketing event incl Speaking engagement 包括演讲在内的市场营销活动,Jacky Wang,2023-04-01,1.0
"Marketing qualified Lead (MQL) 
市场部确认的商机(MQL)",Jacky Wang,2023-04-01,41.0
Press Release 新闻通稿,Jacky Wang,2023-04-01,2.0
"Social Media Posting 
社交媒体发帖量",Jacky Wang,2023-04-01,7.0
