Date,Parameter,Value
2022-07-01,Checking through BOSS,1698.0
2022-07-01,Checking through email,258.0
2022-07-01,checking through excel,0.0
2022-08-01,Checking through BOSS,876.0
2022-08-01,Checking through email,189.0
2022-08-01,checking through excel,0.0
2022-09-01,Checking through BOSS,1047.0
2022-09-01,Checking through email,1176.0
2022-09-01,checking through excel,0.0
2022-10-01,Checking through BOSS,807.0
2022-10-01,Checking through email,820.0
2022-10-01,checking through excel,0.0
2022-11-01,Checking through BOSS,864.0
2022-11-01,Checking through email,187.0
2022-11-01,checking through excel,695.0
2022-12-01,Checking through BOSS,2187.0
2022-12-01,Checking through email,2247.0
2022-12-01,checking through excel,0.0
2023-01-01,Checking through BOSS,495.0
2023-01-01,Checking through email,203.0
2023-01-01,checking through excel,325.0
2023-02-01,Checking through BOSS,741.0
2023-02-01,Checking through email,298.0
2023-02-01,checking through excel,2112.0
2023-03-01,Checking through BOSS,963.0
2023-03-01,Checking through email,252.0
2023-03-01,checking through excel,455.0
2023-04-01,Checking through BOSS,861.0
2023-04-01,Checking through email,194.0
2023-04-01,checking through excel,1284.0
2023-05-01,Checking through BOSS,801.0
2023-05-01,Checking through email,194.0
2023-05-01,checking through excel,1571.0
2023-06-01,Checking through BOSS,1065.0
2023-06-01,Checking through email,208.0
2023-06-01,checking through excel,1205.0
2023-07-01,Checking through BOSS,699.0
2023-07-01,Checking through email,271.0
2023-07-01,checking through excel,785.0
2023-08-01,Checking through BOSS,651.0
2023-08-01,Checking through email,269.0
2023-08-01,checking through excel,895.0
2023-09-01,Checking through BOSS,729.0
2023-09-01,Checking through email,179.0
2023-09-01,checking through excel,1092.0
2023-10-01,Checking through BOSS,714.0
2023-10-01,Checking through email,144.0
2023-10-01,checking through excel,1236.0
2023-11-01,Checking through BOSS,948.0
2023-11-01,Checking through email,171.0
2023-11-01,checking through excel,5501.0
2023-12-01,Checking through BOSS,459.0
2023-12-01,Checking through email,268.0
2023-12-01,checking through excel,2119.0
2024-01-01,Checking through BOSS,1077.0
2024-01-01,Checking through email,171.0
2024-01-01,checking through excel,1512.0
2024-02-01,Checking through BOSS,951.0
2024-02-01,Checking through email,101.0
2024-02-01,checking through excel,1142.0
2024-03-01,Checking through BOSS,1335.0
2024-03-01,Checking through email,139.0
2024-03-01,checking through excel,1640.0
2024-04-01,Checking through BOSS,1113.0
2024-04-01,Checking through email,165.0
2024-04-01,checking through excel,11245.0
2024-05-01,Checking through BOSS,1161.0
2024-05-01,Checking through email,232.0
2024-05-01,checking through excel,9210.0
2024-06-01,Checking through BOSS,1089.0
2024-06-01,Checking through email,241.0
2024-06-01,checking through excel,4371.0
2024-07-01,Checking through BOSS,1173.0
2024-07-01,Checking through email,227.0
2024-07-01,checking through excel,2093.0
2024-08-01,Checking through BOSS,1095.0
2024-08-01,Checking through email,213.0
2024-08-01,checking through excel,1180.0
2024-09-01,Checking through BOSS,996.0
2024-09-01,Checking through email,157.0
2024-09-01,checking through excel,1398.0
2024-10-01,Checking through BOSS,1170.0
2024-10-01,Checking through email,158.0
2024-10-01,checking through excel,387.0
2024-11-01,Checking through BOSS,1287.0
2024-11-01,Checking through email,154.0
2024-11-01,checking through excel,1948.0
2024-12-01,Checking through BOSS,1002.0
2024-12-01,Checking through email,91.0
2024-12-01,checking through excel,2093.0
2025-01-01,Checking through BOSS,888.0
2025-01-01,Checking through email,167.0
2025-01-01,checking through excel,2377.0
2025-02-01,Checking through BOSS,1254.0
2025-02-01,Checking through email,181.0
2025-02-01,checking through excel,4188.0
2025-03-01,Checking through BOSS,1497.0
2025-03-01,Checking through email,167.0
2025-03-01,checking through excel,2400.0
2025-04-01,Checking through BOSS,1539.0
2025-04-01,Checking through email,152.0
2025-04-01,checking through excel,3721.0
2025-05-01,Checking through BOSS,1794.0
2025-05-01,Checking through email,181.0
2025-05-01,checking through excel,1036.0
2025-06-01,Checking through BOSS,1968.0
2025-06-01,Checking through email,146.0
2025-06-01,checking through excel,2307.0
2025-07-01,Checking through BOSS,1863.0
2025-07-01,Checking through email,149.0
2025-07-01,checking through excel,4377.0
2025-08-01,Checking through BOSS,1569.0
2025-08-01,Checking through email,143.0
2025-08-01,checking through excel,789.0
2025-09-01,Checking through BOSS,1665.0
2025-09-01,Checking through email,202.0
2025-09-01,checking through excel,1292.0
2025-10-01,Checking through BOSS,1701.0
2025-10-01,Checking through email,136.0
2025-10-01,checking through excel,2514.0
2025-11-01,Checking through BOSS,1440.0
2025-11-01,Checking through email,175.0
2025-11-01,checking through excel,2088.0
2025-12-01,Checking through BOSS,1230.0
2025-12-01,Checking through email,127.0
2025-12-01,checking through excel,1011.0
