Date,Function,Metric,Value
2022-07-01,AT&T,Billed Revenue,0.0
2022-07-01,AT&T,Monthly WIN - MRC,0.0
2022-07-01,AT&T,Monthly WIN - TCV,0.0
2022-07-01,AT&T,Order in Progress - MRC,0.0
2022-07-01,Emily's channel,Billed Revenue,0.0
2022-07-01,Emily's channel,Monthly WIN - MRC,0.0
2022-07-01,Emily's channel,Monthly WIN - TCV,0.0
2022-07-01,Emily's channel,Order in Progress - MRC,0.0
2022-07-01,IPA,Billed Revenue,13161969.0
2022-07-01,IPA,Monthly WIN - MRC,698810.0
2022-07-01,IPA,Monthly WIN - TCV,9303725.0
2022-07-01,IPA,Order in Progress - MRC,722694.0
2022-07-01,MNC,Billed Revenue,7081876.0
2022-07-01,MNC,Monthly WIN - MRC,354118.0
2022-07-01,MNC,Monthly WIN - TCV,7366183.0
2022-07-01,MNC,Order in Progress - MRC,419219.0
2022-07-01,Maggie's team,Billed Revenue,2600056.0
2022-07-01,Maggie's team,Monthly WIN - MRC,12077.0
2022-07-01,Maggie's team,Monthly WIN - TCV,148174.0
2022-07-01,Maggie's team,Order in Progress - MRC,42294.0
2022-07-01,Sherry's team,Billed Revenue,1128932.0
2022-07-01,Sherry's team,Monthly WIN - MRC,39858.0
2022-07-01,Sherry's team,Monthly WIN - TCV,1792190.0
2022-07-01,Sherry's team,Order in Progress - MRC,46108.0
2022-07-01,Zscaler,Billed Revenue,0.0
2022-07-01,Zscaler,Monthly WIN - MRC,0.0
2022-07-01,Zscaler,Monthly WIN - TCV,0.0
2022-07-01,Zscaler,Order in Progress - MRC,0.0
2022-08-01,AT&T,Billed Revenue,0.0
2022-08-01,AT&T,Monthly WIN - MRC,0.0
2022-08-01,AT&T,Monthly WIN - TCV,0.0
2022-08-01,AT&T,Order in Progress - MRC,0.0
2022-08-01,Emily's channel,Billed Revenue,0.0
2022-08-01,Emily's channel,Monthly WIN - MRC,0.0
2022-08-01,Emily's channel,Monthly WIN - TCV,0.0
2022-08-01,Emily's channel,Order in Progress - MRC,0.0
2022-08-01,IPA,Billed Revenue,13127614.0
2022-08-01,IPA,Monthly WIN - MRC,53165.0
2022-08-01,IPA,Monthly WIN - TCV,1009785.0
2022-08-01,IPA,Order in Progress - MRC,107863.0
2022-08-01,MNC,Billed Revenue,7194779.0
2022-08-01,MNC,Monthly WIN - MRC,77967.0
2022-08-01,MNC,Monthly WIN - TCV,1420438.0
2022-08-01,MNC,Order in Progress - MRC,105684.0
2022-08-01,Maggie's team,Billed Revenue,2801095.0
2022-08-01,Maggie's team,Monthly WIN - MRC,1371.0
2022-08-01,Maggie's team,Monthly WIN - TCV,26752.0
2022-08-01,Maggie's team,Order in Progress - MRC,68251.0
2022-08-01,Sherry's team,Billed Revenue,998545.0
2022-08-01,Sherry's team,Monthly WIN - MRC,381573.0
2022-08-01,Sherry's team,Monthly WIN - TCV,4665676.0
2022-08-01,Sherry's team,Order in Progress - MRC,307800.0
2022-08-01,Zscaler,Billed Revenue,0.0
2022-08-01,Zscaler,Monthly WIN - MRC,0.0
2022-08-01,Zscaler,Monthly WIN - TCV,0.0
2022-08-01,Zscaler,Order in Progress - MRC,0.0
2022-09-01,AT&T,Billed Revenue,0.0
2022-09-01,AT&T,Monthly WIN - MRC,0.0
2022-09-01,AT&T,Monthly WIN - TCV,0.0
2022-09-01,AT&T,Order in Progress - MRC,0.0
2022-09-01,Emily's channel,Billed Revenue,0.0
2022-09-01,Emily's channel,Monthly WIN - MRC,0.0
2022-09-01,Emily's channel,Monthly WIN - TCV,0.0
2022-09-01,Emily's channel,Order in Progress - MRC,0.0
2022-09-01,IPA,Billed Revenue,13016840.0
2022-09-01,IPA,Monthly WIN - MRC,81823.0
2022-09-01,IPA,Monthly WIN - TCV,1183834.0
2022-09-01,IPA,Order in Progress - MRC,38726.0
2022-09-01,MNC,Billed Revenue,8283638.0
2022-09-01,MNC,Monthly WIN - MRC,164072.0
2022-09-01,MNC,Monthly WIN - TCV,4026414.0
2022-09-01,MNC,Order in Progress - MRC,119847.0
2022-09-01,Maggie's team,Billed Revenue,2601864.0
2022-09-01,Maggie's team,Monthly WIN - MRC,7855.0
2022-09-01,Maggie's team,Monthly WIN - TCV,137913.0
2022-09-01,Maggie's team,Order in Progress - MRC,18759.0
2022-09-01,Sherry's team,Billed Revenue,1150707.0
2022-09-01,Sherry's team,Monthly WIN - MRC,25770.0
